GEO_ID	NAME	ZIP	S1901_C01_012E	S1901_C01_012M	S1901_C01_013E	S1901_C01_013M
id	Geographic Area Name	Zip Code	Estimate!!Households!!Median income (dollars)	Margin of Error!!Households MOE!!Median income (dollars)	Estimate!!Households!!Mean income (dollars)	Margin of Error!!Households MOE!!Mean income (dollars)
8600000US27862	ZCTA5 27862	27862	37500	15226	46746	9098
8600000US27863	ZCTA5 27863	27863	56724	6876	79945	18054
8600000US27864	ZCTA5 27864	27864	40455	5811	53898	5277
8600000US27865	ZCTA5 27865	27865	63917	29099	82176	15122
8600000US27866	ZCTA5 27866	27866	54000	24665	55736	16127
8600000US27869	ZCTA5 27869	27869	29646	8612	37697	6485
8600000US27870	ZCTA5 27870	27870	36287	2814	53382	4620
8600000US27871	ZCTA5 27871	27871	36286	5714	46061	5616
8600000US27872	ZCTA5 27872	27872	19236	5028	27773	9047
8600000US27873	ZCTA5 27873	27873	-	**	45684	14770
8600000US27874	ZCTA5 27874	27874	36023	11485	65669	15950
8600000US27875	ZCTA5 27875	27875	-	**	44172	22341
8600000US27876	ZCTA5 27876	27876	35807	7225	49522	11589
8600000US27878	ZCTA5 27878	27878	24595	5657	40691	10995
8600000US27879	ZCTA5 27879	27879	54000	12811	68704	13790
8600000US27880	ZCTA5 27880	27880	65768	9466	85112	21698
8600000US27881	ZCTA5 27881	27881	-	**	37154	19159
8600000US27882	ZCTA5 27882	27882	42587	5810	58628	7006
8600000US27883	ZCTA5 27883	27883	44561	5631	50810	5761
8600000US27884	ZCTA5 27884	27884	60147	22436	68589	17378
8600000US27885	ZCTA5 27885	27885	41442	34452	56245	14526
8600000US27886	ZCTA5 27886	27886	35959	3766	51811	4801
8600000US27888	ZCTA5 27888	27888	40156	4867	52381	11088
8600000US27889	ZCTA5 27889	27889	40740	3405	60630	4916
8600000US27890	ZCTA5 27890	27890	28264	10647	37624	4946
8600000US27891	ZCTA5 27891	27891	42656	6734	55064	8167
8600000US27892	ZCTA5 27892	27892	40243	4496	60364	7189
8600000US27893	ZCTA5 27893	27893	34210	2042	46797	2982
8600000US27896	ZCTA5 27896	27896	63792	3766	81739	6564
8600000US27897	ZCTA5 27897	27897	47125	15695	47629	8034
8600000US27909	ZCTA5 27909	27909	48277	1391	60882	2823
8600000US27910	ZCTA5 27910	27910	39126	3241	50778	2815
8600000US27915	ZCTA5 27915	27915	33125	13402	42210	13839
8600000US27916	ZCTA5 27916	27916	52100	24307	66631	13626
8600000US27917	ZCTA5 27917	27917	29684	4813	35254	10067
8600000US27919	ZCTA5 27919	27919	-	**	47425	14602
8600000US27920	ZCTA5 27920	27920	48796	21852	53612	11888
8600000US27921	ZCTA5 27921	27921	63563	9274	75248	9648
8600000US27922	ZCTA5 27922	27922	40536	31618	44976	12454
8600000US27923	ZCTA5 27923	27923	51330	10435	71025	24605
8600000US27924	ZCTA5 27924	27924	32647	8234	48100	10971
8600000US27925	ZCTA5 27925	27925	37674	8878	45490	4796
8600000US27926	ZCTA5 27926	27926	51343	14799	76107	19543
8600000US27927	ZCTA5 27927	27927	65795	14223	94676	25391
8600000US27928	ZCTA5 27928	27928	27188	6985	38042	6426
8600000US27929	ZCTA5 27929	27929	80185	14492	93993	16151
8600000US27932	ZCTA5 27932	27932	42052	4201	54319	4501
8600000US27935	ZCTA5 27935	27935	51250	13159	58518	7253
8600000US27936	ZCTA5 27936	27936	37917	21906	51102	10406
8600000US27937	ZCTA5 27937	27937	56523	6705	63962	7449
8600000US27938	ZCTA5 27938	27938	47273	12784	59384	11041
8600000US27939	ZCTA5 27939	27939	56910	15061	64108	7928
8600000US27941	ZCTA5 27941	27941	72569	31364	90686	39285
8600000US27942	ZCTA5 27942	27942	40708	12712	44388	8182
8600000US27943	ZCTA5 27943	27943	73400	14784	69029	12419
8600000US27944	ZCTA5 27944	27944	46240	2300	60525	4890
8600000US27946	ZCTA5 27946	27946	52679	13583	67578	13697
8600000US27947	ZCTA5 27947	27947	50417	11953	61309	10448
8600000US27948	ZCTA5 27948	27948	57445	4042	73112	7049
8600000US27949	ZCTA5 27949	27949	78191	6770	107255	9444
8600000US27950	ZCTA5 27950	27950	58821	12832	65252	7006
8600000US27953	ZCTA5 27953	27953	46321	7938	60139	10878
8600000US27954	ZCTA5 27954	27954	52626	6042	71292	9415
8600000US27956	ZCTA5 27956	27956	-	**	88246	21617
8600000US27957	ZCTA5 27957	27957	41500	17861	83582	36129
8600000US27958	ZCTA5 27958	27958	84575	4521	90253	6119
8600000US27959	ZCTA5 27959	27959	58803	7893	78441	11276
8600000US27960	ZCTA5 27960	27960	-	**	45854	18129
8600000US27962	ZCTA5 27962	27962	36155	4624	46889	7544
8600000US27964	ZCTA5 27964	27964	51321	33531	61724	16834
8600000US27965	ZCTA5 27965	27965	41250	38707	51504	13377
8600000US27966	ZCTA5 27966	27966	37837	34011	46576	18653
8600000US27967	ZCTA5 27967	27967	32500	24367	67544	38576
8600000US27968	ZCTA5 27968	27968	57554	16297	61312	19637
8600000US27970	ZCTA5 27970	27970	35188	6177	40237	4654
8600000US27972	ZCTA5 27972	27972	126250	97846	103877	46473
8600000US27973	ZCTA5 27973	27973	41736	17597	59077	10358
8600000US27974	ZCTA5 27974	27974	50865	21285	70006	16530
8600000US27976	ZCTA5 27976	27976	71532	12520	71727	8808
8600000US27978	ZCTA5 27978	27978	-	**	56825	22368
8600000US27979	ZCTA5 27979	27979	59688	18968	70050	16368
8600000US27980	ZCTA5 27980	27980	47946	8243	57226	8459
8600000US27981	ZCTA5 27981	27981	49954	7920	62068	9938
8600000US27982	ZCTA5 27982	27982	-	**	N	N
8600000US27983	ZCTA5 27983	27983	31382	6007	47292	6901
8600000US27985	ZCTA5 27985	27985	28750	17140	31693	9607
8600000US27986	ZCTA5 27986	27986	35446	7570	47265	6603
8600000US28001	ZCTA5 28001	28001	45121	3000	57831	2687
8600000US28006	ZCTA5 28006	28006	50893	17074	58936	10971
8600000US28007	ZCTA5 28007	28007	36522	15057	51539	13396
8600000US28009	ZCTA5 28009	28009	33261	7092	44420	7755
8600000US28012	ZCTA5 28012	28012	66910	5647	86851	4867
8600000US28016	ZCTA5 28016	28016	44313	5570	58594	5935
8600000US28017	ZCTA5 28017	28017	-	**	-	**
8600000US28018	ZCTA5 28018	28018	36108	10581	48005	5555
8600000US28019	ZCTA5 28019	28019	-	**	-	**
8600000US28020	ZCTA5 28020	28020	42700	11115	49913	7824
8600000US28021	ZCTA5 28021	28021	45606	3048	59940	4133
8600000US28023	ZCTA5 28023	28023	54626	8158	78316	9089
8600000US28025	ZCTA5 28025	28025	54774	2950	69856	3149
8600000US28027	ZCTA5 28027	28027	71067	4308	90945	3615
8600000US28031	ZCTA5 28031	28031	89823	5058	123102	8937
8600000US28032	ZCTA5 28032	28032	59071	12097	79510	11901
8600000US28033	ZCTA5 28033	28033	43674	5410	57548	7876
8600000US28034	ZCTA5 28034	28034	46423	3174	58068	3517
8600000US28036	ZCTA5 28036	28036	117685	5297	155218	10167
8600000US28037	ZCTA5 28037	28037	75516	4380	106383	6136
8600000US28039	ZCTA5 28039	28039	20536	14606	23071	9125
8600000US28040	ZCTA5 28040	28040	38957	4316	50119	7207
8600000US28043	ZCTA5 28043	28043	35484	5320	48582	3715
8600000US28052	ZCTA5 28052	28052	36243	2377	49850	3036
8600000US28054	ZCTA5 28054	28054	43422	2418	58787	3086
8600000US28056	ZCTA5 28056	28056	63563	3085	84462	6934
8600000US28071	ZCTA5 28071	28071	43551	8550	56008	7725
